Year,Name,Frequency,Rank
1980,Atit,1,835
1980,Auguste,1,835
1980,Augustus,1,835
1980,Aumir,1,835
1980,Avery,1,835
1980,Avidan,1,835
1980,Avnish,1,835
1980,Azeez,1,835
1980,Badre,1,835
1980,Banji,1,835
1980,Banning,1,835
1980,Bao,1,835
1980,Baron,1,835
1980,Barret,1,835
1980,Bartley,1,835
1980,Barton,1,835
1980,Basel,1,835
1980,Bassim,1,835
1980,Ba-Tri,1,835
1980,Beaufort,1,835
1980,Bejay,1,835
1980,Belal,1,835
1980,Bellamy,1,835
1980,Benedict,1,835
1980,Benjarmin,1,835
1980,Benji,1,835
1980,Benjiman,1,835
1980,Bennett,1,835
1980,Benoit,1,835
1980,Bercham,1,835
1980,Bernhart,1,835
1980,Bernie,1,835
1980,Bert,1,835
1980,Bertrun,1,835
1980,Bhavandeep,1,835
1980,Bhupinder,1,835
1980,Biagio,1,835
1980,Bijhan,1,835
1980,Bikramjit,1,835
1980,Billy-Joel,1,835
1980,Bissam,1,835
1980,Blain,1,835
1980,Blaydon,1,835
1980,Bleu,1,835
1980,Bob,1,835
1980,Bobak,1,835
1980,Bobbie,1,835
1980,Bobby-Ray,1,835
1980,Bocephus,1,835
1980,Bodan,1,835
1980,Bodey,1,835
1980,Boe,1,835
1980,Bo-James,1,835
1980,Borden,1,835
1980,Borek,1,835
1980,Boris,1,835
1980,Bowen,1,835
1980,Boyce,1,835
1980,Bradely,1,835
1980,Bradey,1,835
1980,Braeden,1,835
1980,Braedy,1,835
1980,Brandin,1,835
1980,Brandt,1,835
1980,Branht,1,835
1980,Branko,1,835
1980,Braydon,1,835
1980,Bren,1,835
1980,Brendyn,1,835
1980,Brennen,1,835
1980,Brennon,1,835
1980,Brenon,1,835
1980,Bricin,1,835
1980,Brigham,1,835
1980,Brij,1,835
1980,Broc,1,835
1980,Brydon,1,835
1980,Bryson,1,835
1980,Buck,1,835
1980,Bucky,1,835
1980,Burgie,1,835
1980,Burkeley,1,835
1980,Burlington,1,835
1980,Burt,1,835
1980,Byran,1,835
1980,C.,1,835
1980,Caelah,1,835
1980,Cailen,1,835
1980,Cal,1,835
1980,Cale,1,835
1980,Calem,1,835
1980,Calum,1,835
1980,Calvert,1,835
1980,Camil,1,835
1980,Camron,1,835
1980,Canberk,1,835
1980,Canson,1,835
1980,Carlen,1,835
1980,Carlin,1,835
1980,Carlo-Polidoro,1,835
1980,Carlyle,1,835
1980,Carmine,1,835
1980,Cason,1,835
1980,Cassidy,1,835
1980,Cavin,1,835
1980,Cayley,1,835
1980,Chaalan,1,835
1980,Chadburn,1,835
1980,Chadwell,1,835
1980,Chaim,1,835
1980,Chakko,1,835
1980,Chancy,1,835
1980,Chandana,1,835
1980,Channing,1,835
1980,Charleton,1,835
1980,Charlie,1,835
1980,Chastain,1,835
1980,Chel,1,835
1980,Chen,1,835
1980,Cheong,1,835
1980,Cheyney,1,835
1980,Chi,1,835
1980,Chi-Louis,1,835
1980,Chi-Yan,1,835
1980,Choo-Kien,1,835
1980,Christiaan,1,835
1980,Christien,1,835
1980,Christina,1,835
1980,Christipher,1,835
1980,Christodoulos,1,835
1980,Christon,1,835
1980,Christoper,1,835
1980,Christopher-Blake,1,835
1980,Christopher-Guenther-Daniel,1,835
1980,Christopher-Jozef,1,835
1980,Chuck,1,835
1980,Chuckie,1,835
1980,Clancey,1,835
1980,Clarke,1,835
1980,Claudio,1,835
1980,Cleavon,1,835
1980,Clement,1,835
1980,Cletus,1,835
1980,Cliff,1,835
1980,Cliffton,1,835
1980,Clynton,1,835
1980,Coby,1,835
1980,Cochise,1,835
1980,Coddi,1,835
